[18:21:36] error: Got invalid SLAM message!
[18:21:37] warning: Invalid size of payload!
[18:21:37] error: Received invalid SLAM message!
[18:21:37] error: Got invalid SLAM message!
[18:21:38] warning: Invalid size of payload!
[18:21:38] error: Received invalid SLAM message!
[18:21:38] error: Got invalid SLAM message!
[18:21:39] warning: Invalid size of payload!
[18:21:39] error: Received invalid SLAM message!
[18:21:39] error: Got invalid SLAM message!
[18:21:40] warning: Invalid size of payload!
[18:21:40] error: Received invalid SLAM message!
[18:21:40] error: Got invalid SLAM message!
[18:21:41] warning: Invalid size of payload!
[18:21:41] error: Received invalid SLAM message!
[18:21:41] error: Got invalid SLAM message!
[18:21:42] warning: Invalid size of payload!
[18:21:42] error: Received invalid SLAM message!
[18:21:42] error: Got invalid SLAM message!
[18:21:46] warning: Invalid size of payload!
[18:21:46] error: Received invalid SLAM message!
[18:21:46] error: Got invalid SLAM message!
[18:21:47] warning: Invalid size of payload!
[18:21:47] error: Received invalid SLAM message!
[18:21:47] error: Got invalid SLAM message!
[18:21:48] warning: Invalid size of payload!
[18:21:48] error: Received invalid SLAM message!
[18:21:48] error: Got invalid SLAM message!
[18:21:49] warning: Invalid size of payload!
[18:21:49] error: Received invalid SLAM message!
[18:21:49] error: Got invalid SLAM message!
[18:21:50] warning: Invalid size of payload!
[18:21:50] error: Received invalid SLAM message!
[18:21:50] error: Got invalid SLAM message!
[18:21:51] warning: Invalid size of payload!
[18:21:51] error: Received invalid SLAM message!
[18:21:51] error: Got invalid SLAM message!
[18:21:52] warning: Invalid size of payload!
[18:21:52] error: Received invalid SLAM message!
[18:21:52] error: Got invalid SLAM message!
[18:21:53] warning: Invalid size of payload!
[18:21:53] error: Received invalid SLAM message!
[18:21:53] error: Got invalid SLAM message!
[18:21:54] warning: Invalid size of payload!
[18:21:54] error: Received invalid SLAM message!
[18:21:54] error: Got invalid SLAM message!
[18:21:55] warning: Invalid size of payload!
[18:21:55] error: Received invalid SLAM message!
[18:21:55] error: Got invalid SLAM message!
[18:21:56] warning: Invalid size of payload!
[18:21:56] error: Received invalid SLAM message!
[18:21:56] error: Got invalid SLAM message!
[18:21:57] warning: Invalid size of payload!
[18:21:57] error: Received invalid SLAM message!
[18:21:57] error: Got invalid SLAM message!
[18:21:58] warning: Invalid size of payload!
[18:21:58] error: Received invalid SLAM message!
[18:21:58] error: Got invalid SLAM message!
[18:21:59] warning: Invalid size of payload!
[18:21:59] error: Received invalid SLAM message!
[18:21:59] error: Got invalid SLAM message!
[18:22:00] warning: Invalid size of payload!
[18:22:00] error: Received invalid SLAM message!
[18:22:00] error: Got invalid SLAM message!
[18:22:01] warning: Invalid size of payload!
[18:22:01] error: Received invalid SLAM message!
[18:22:01] error: Got invalid SLAM message!
[18:22:02] warning: Invalid size of payload!
[18:22:02] error: Received invalid SLAM message!
[18:22:02] error: Got invalid SLAM message!
[18:22:03] warning: Invalid size of payload!
[18:22:03] error: Received invalid SLAM message!
[18:22:03] error: Got invalid SLAM message!
[18:22:04] warning: Invalid size of payload!
[18:22:04] error: Received invalid SLAM message!
[18:22:04] error: Got invalid SLAM message!
[18:22:05] warning: Invalid size of payload!
[18:22:05] error: Received invalid SLAM message!
[18:22:05] error: Got invalid SLAM message!
[18:22:06] warning: Invalid size of payload!
[18:22:06] error: Received invalid SLAM message!
[18:22:06] error: Got invalid SLAM message!
[18:22:07] warning: Invalid size of payload!
[18:22:07] error: Received invalid SLAM message!
[18:22:07] error: Got invalid SLAM message!
[18:22:08] warning: Invalid size of payload!
[18:22:08] error: Received invalid SLAM message!
[18:22:08] error: Got invalid SLAM message!
[18:22:09] warning: Invalid size of payload!
[18:22:09] error: Received invalid SLAM message!
[18:22:09] error: Got invalid SLAM message!
[18:22:10] warning: Invalid size of payload!
[18:22:10] error: Received invalid SLAM message!
[18:22:10] error: Got invalid SLAM message!
[18:22:11] warning: Invalid size of payload!
[18:22:11] error: Received invalid SLAM message!
[18:22:11] error: Got invalid SLAM message!
[18:22:12] warning: Invalid size of payload!
[18:22:12] error: Received invalid SLAM message!
[18:22:12] error: Got invalid SLAM message!
[18:22:13] warning: Invalid size of payload!
[18:22:13] error: Received invalid SLAM message!
[18:22:13] error: Got invalid SLAM message!
[18:22:14] warning: Invalid size of payload!
[18:22:14] error: Received invalid SLAM message!
[18:22:14] error: Got invalid SLAM message!
[18:22:15] warning: Invalid size of payload!
[18:22:15] error: Received invalid SLAM message!
[18:22:15] error: Got invalid SLAM message!
[18:22:16] warning: Invalid size of payload!
[18:22:16] error: Received invalid SLAM message!
[18:22:16] error: Got invalid SLAM message!
[18:22:17] warning: Invalid size of payload!
[18:22:17] error: Received invalid SLAM message!
[18:22:17] error: Got invalid SLAM message!
[18:22:18] warning: Invalid size of payload!
[18:22:18] error: Received invalid SLAM message!
[18:22:18] error: Got invalid SLAM message!
[18:22:19] warning: Invalid size of payload!
[18:22:19] error: Received invalid SLAM message!
[18:22:19] error: Got invalid SLAM message!
[18:22:21] warning: Invalid size of payload!
[18:22:21] error: Received invalid SLAM message!
[18:22:21] error: Got invalid SLAM message!
[18:22:21] warning: Invalid size of payload!
[18:22:21] error: Received invalid SLAM message!
[18:22:21] error: Got invalid SLAM message!
[18:22:23] warning: Invalid size of payload!
[18:22:23] error: Received invalid SLAM message!
[18:22:23] error: Got invalid SLAM message!
[18:22:23] warning: Invalid size of payload!
[18:22:23] error: Received invalid SLAM message!
[18:22:23] error: Got invalid SLAM message!
[18:22:25] warning: Invalid size of payload!
[18:22:25] error: Received invalid SLAM message!
[18:22:25] error: Got invalid SLAM message!
[18:22:25] warning: Invalid size of payload!
[18:22:25] error: Received invalid SLAM message!
[18:22:25] error: Got invalid SLAM message!
[18:22:27] warning: Invalid size of payload!
[18:22:27] error: Received invalid SLAM message!
[18:22:27] error: Got invalid SLAM message!
[18:22:27] warning: Invalid size of payload!
[18:22:27] error: Received invalid SLAM message!
[18:22:27] error: Got invalid SLAM message!
[18:22:29] warning: Invalid size of payload!
[18:22:29] error: Received invalid SLAM message!
[18:22:29] error: Got invalid SLAM message!
[18:22:29] warning: Invalid size of payload!
[18:22:29] error: Received invalid SLAM message!
[18:22:29] error: Got invalid SLAM message!
[18:22:31] warning: Invalid size of payload!
[18:22:31] error: Received invalid SLAM message!
[18:22:31] error: Got invalid SLAM message!
[18:22:32] warning: Invalid size of payload!
[18:22:32] error: Received invalid SLAM message!
[18:22:32] error: Got invalid SLAM message!
[18:22:33] warning: Invalid size of payload!
[18:22:33] error: Received invalid SLAM message!
[18:22:33] error: Got invalid SLAM message!
[18:22:34] warning: Invalid size of payload!
[18:22:34] error: Received invalid SLAM message!
[18:22:34] error: Got invalid SLAM message!
[18:22:35] warning: Invalid size of payload!
[18:22:35] error: Received invalid SLAM message!
[18:22:35] error: Got invalid SLAM message!
[18:22:36] warning: Invalid size of payload!
[18:22:36] error: Received invalid SLAM message!
[18:22:36] error: Got invalid SLAM message!
[18:22:37] warning: Invalid size of payload!
[18:22:37] error: Received invalid SLAM message!
[18:22:37] error: Got invalid SLAM message!
[18:22:38] warning: Invalid size of payload!
[18:22:38] error: Received invalid SLAM message!
[18:22:38] error: Got invalid SLAM message!
[18:22:39] warning: Invalid size of payload!
[18:22:39] error: Received invalid SLAM message!
[18:22:39] error: Got invalid SLAM message!
[18:22:40] warning: Invalid size of payload!
[18:22:40] error: Received invalid SLAM message!
[18:22:40] error: Got invalid SLAM message!
[18:22:41] warning: Invalid size of payload!
[18:22:41] error: Received invalid SLAM message!
[18:22:41] error: Got invalid SLAM message!
[18:22:42] warning: Invalid size of payload!
[18:22:42] error: Received invalid SLAM message!
[18:22:42] error: Got invalid SLAM message!
[18:22:43] warning: Invalid size of payload!
[18:22:43] error: Received invalid SLAM message!
[18:22:43] error: Got invalid SLAM message!
[18:22:44] warning: Invalid size of payload!
[18:22:44] error: Received invalid SLAM message!
[18:22:44] error: Got invalid SLAM message!
[18:22:45] warning: Invalid size of payload!
[18:22:45] error: Received invalid SLAM message!
[18:22:45] error: Got invalid SLAM message!
[18:22:46] warning: Invalid size of payload!
[18:22:46] error: Received invalid SLAM message!
[18:22:46] error: Got invalid SLAM message!
[18:22:47] warning: Invalid size of payload!
[18:22:47] error: Received invalid SLAM message!
[18:22:47] error: Got invalid SLAM message!
[18:22:48] warning: Invalid size of payload!
[18:22:48] error: Received invalid SLAM message!
[18:22:48] error: Got invalid SLAM message!
[18:22:49] warning: Invalid size of payload!
[18:22:49] error: Received invalid SLAM message!
[18:22:49] error: Got invalid SLAM message!
[18:22:50] warning: Invalid size of payload!
[18:22:50] error: Received invalid SLAM message!
[18:22:50] error: Got invalid SLAM message!
[18:22:51] warning: Invalid size of payload!
[18:22:51] error: Received invalid SLAM message!
[18:22:51] error: Got invalid SLAM message!
[18:22:52] warning: Invalid size of payload!
[18:22:52] error: Received invalid SLAM message!
[18:22:52] error: Got invalid SLAM message!
[18:22:53] warning: Invalid size of payload!
[18:22:53] error: Received invalid SLAM message!
[18:22:53] error: Got invalid SLAM message!
[18:22:54] warning: Invalid size of payload!
[18:22:54] error: Received invalid SLAM message!
[18:22:54] error: Got invalid SLAM message!
[18:22:55] warning: Invalid size of payload!
[18:22:55] error: Received invalid SLAM message!
[18:22:55] error: Got invalid SLAM message!
[18:22:56] warning: Invalid size of payload!
[18:22:56] error: Received invalid SLAM message!
[18:22:56] error: Got invalid SLAM message!
[18:22:57] warning: Invalid size of payload!
[18:22:57] error: Received invalid SLAM message!
[18:22:57] error: Got invalid SLAM message!
[18:22:58] warning: Invalid size of payload!
[18:22:58] error: Received invalid SLAM message!
[18:22:58] error: Got invalid SLAM message!
[18:22:59] warning: Invalid size of payload!
[18:22:59] error: Received invalid SLAM message!
[18:22:59] error: Got invalid SLAM message!
[18:23:00] warning: Invalid size of payload!
[18:23:00] error: Received invalid SLAM message!
[18:23:00] error: Got invalid SLAM message!
[18:23:01] warning: Invalid size of payload!
[18:23:01] error: Received invalid SLAM message!
[18:23:01] error: Got invalid SLAM message!
[18:23:02] warning: Invalid size of payload!
[18:23:02] error: Received invalid SLAM message!
[18:23:02] error: Got invalid SLAM message!
[18:23:03] warning: Invalid size of payload!
[18:23:03] error: Received invalid SLAM message!
[18:23:03] error: Got invalid SLAM message!
[18:23:04] warning: Invalid size of payload!
[18:23:04] error: Received invalid SLAM message!
[18:23:04] error: Got invalid SLAM message!
[18:23:05] warning: Invalid size of payload!
[18:23:05] error: Received invalid SLAM message!
[18:23:05] error: Got invalid SLAM message!
[18:23:06] warning: Invalid size of payload!
[18:23:06] error: Received invalid SLAM message!
[18:23:06] error: Got invalid SLAM message!
[18:23:07] warning: Invalid size of payload!
[18:23:07] error: Received invalid SLAM message!
[18:23:07] error: Got invalid SLAM message!
[18:23:08] warning: Invalid size of payload!
[18:23:08] error: Received invalid SLAM message!
[18:23:08] error: Got invalid SLAM message!
[18:23:09] warning: Invalid size of payload!
[18:23:09] error: Received invalid SLAM message!
[18:23:09] error: Got invalid SLAM message!
[18:23:10] warning: Invalid size of payload!
[18:23:10] error: Received invalid SLAM message!
[18:23:10] error: Got invalid SLAM message!
[18:23:11] warning: Invalid size of payload!
[18:23:11] error: Received invalid SLAM message!
[18:23:11] error: Got invalid SLAM message!
[18:23:12] warning: Invalid size of payload!
[18:23:12] error: Received invalid SLAM message!
[18:23:12] error: Got invalid SLAM message!
[18:23:13] warning: Invalid size of payload!
[18:23:13] error: Received invalid SLAM message!
[18:23:13] error: Got invalid SLAM message!
[18:23:14] warning: Invalid size of payload!
[18:23:14] error: Received invalid SLAM message!
[18:23:14] error: Got invalid SLAM message!
[18:23:15] warning: Invalid size of payload!
[18:23:15] error: Received invalid SLAM message!
[18:23:15] error: Got invalid SLAM message!
[18:23:16] warning: Invalid size of payload!
[18:23:16] error: Received invalid SLAM message!
